polra_name,flightcsv,landuse,lat,lon,Demo,elevall,flighthight,hang,lie,file,UTC,t2,skt,st,swv,aspect20cm,slope20cm,DEM20cm,slope60m,aspect60m,srtm_60_05,slope_30m,aspect_30m,SRTM_30m
POLRA3_20240702_15_35_49,2024-07-02_15-41-57_v2.csv,crop,42.32515818,117.2053947,croptreegrass,28.42020868,1523.765979,8,3,2,8,285.3637695,285.3701782,287.1166992,0.212783813,0,0,1523.765979,0,0,1510,0,0,1510
POLRA3_20240702_16_22_48,2024-07-02_16-24-54_v2.csv,crop,42.32505623,117.2053097,croptreegrass,29.58426579,1529.41957,8,3,3,8,284.6689453,284.6436768,286.6804199,0.21472168,0,0,1529.41957,0,0,1510,0,0,1510
POLRA3_20240704_15_59_28,2024-07-04_16-00-33_v2.csv,crop,42.32496872,117.2053292,croptreegrass,30.87721968,1541.123021,8,3,7,8,286.8776855,286.4907227,288.1622314,0.211746216,0,0,1541.123021,0,0,1510,0,0,1510
POLRA3_20240704_16_31_31,2024-07-04_16-32-44_v2.csv,crop,42.31909719,117.2017436,anothercrop,29.26345932,1529.11845,8,3,8,9,286.3843994,285.9197998,287.6992188,0.211685181,0,0,1529.11845,0,0,1510,0,0,1510
POLRA3_20240705_15_34_25,2024-07-05_15-35-08_v2.csv,crop,42.32492314,117.2052908,croptreegrass,30.28092686,1540.394679,8,3,12,8,290.619751,289.4289551,290.8267822,0.191650391,0,0,1540.394679,0,0,1510,0,0,1510
POLRA3_20240705_16_05_30,2024-07-05_16-06-41_v2.csv,crop,42.31896783,117.2016413,anothercrop,22.74614541,1531.580736,8,3,13,8,289.7103271,288.5061035,290.1535645,0.19152832,0,0,1531.580736,0,0,1510,0,0,1510
POLRA3_20240706_15_37_52,2024-07-06_15-40-04_v2.csv,tree,42.31018693,117.2076753,treeandgrass,18.0867854,1503.755373,8,3,17,8,287.1044922,286.0721436,288.2904053,0.216918945,0,0,1503.755373,0,0,1510,0,0,1510
POLRA3_20240706_17_44_00,2024-07-06_17-44-59_v2.csv,crop,42.32508948,117.2054131,croptreegrass,29.52452777,1535.064608,8,3,19,10,286.668335,284.9824219,287.3984375,0.216796875,0,0,1535.064608,0,0,1510,0,0,1510
POLRA3_20240707_16_08_00,2024-07-07_16-09-02_v2.csv,tree,42.31021607,117.2075365,treeandgrass,20.56736966,1506.872442,8,3,23,8,287.4050293,287.0673218,288.6106567,0.260528564,0,0,1506.872442,0,0,1510,0,0,1510
POLRA3_20240707_17_57_02,2024-07-07_17-57-24_v2.csv,crop,42.32514077,117.2054483,croptreegrass,30.34819988,1542.481117,8,3,24,10,286.84729,286.5728149,288.2581177,0.261459351,0,0,1542.481117,0,0,1510,0,0,1510
POLRA3_20240708_09_44_55,2024-07-08_09-46-21_v2.csv,tree,42.31009397,117.2078339,treeandgrass,31.48042666,1517.373847,8,3,26,2,293.2510986,295.486084,294.7241211,0.264602661,0,0,1517.373847,0,0,1510,0,0,1510
POLRA3_20240708_16_32_54,2024-07-08_16-33-47_v2.csv,crop,42.32502516,117.2053573,croptreegrass,32.82945713,1543.216356,8,3,28,9,286.699707,286.4794312,288.6323853,0.265930176,0,0,1543.216356,0,0,1510,0,0,1510
POLRA3_20240709_16_05_56,2024-07-09_16-06-40_v2.csv,tree,42.31008462,117.2078354,treeandgrass,26.76738777,1511.461545,8,3,33,8,286.5307617,285.7012939,288.6618652,0.234939575,0,0,1511.461545,0,0,1510,0,0,1510
POLRA3_20240709_17_11_26,2024-07-09_17-11-45_v2.csv,crop,42.32517772,117.2055164,croptreegrass,29.73085629,1534.415541,8,3,34,9,286.0861816,285.0626221,288.1046143,0.234771729,0,0,1534.415541,0,0,1510,0,0,1510
POLRA3_20240710_15_27_54,2024-07-10_15-28-55_v2.csv,tree,42.3101722,117.2076951,treeandgrass,25.48565755,1508.283675,8,3,37,7,290.4470215,289.2528076,291.2178955,0.210784912,0,0,1508.283675,0,0,1510,0,0,1510
POLRA3_20240710_16_27_49,2024-07-10_16-29-22_v2.csv,crop,42.32503149,117.2054044,croptreegrass,30.35594243,1533.492092,8,3,38,8,289.3397217,288.3530273,290.5385742,0.210693359,0,0,1533.492092,0,0,1510,0,0,1510
POLRA3_20240712_18_26_38,2024-07-12_18-27-26_v2.csv,crop,42.32529788,117.2054717,croptreegrass,32.21413549,1541.007427,8,3,45,10,287.8364258,287.7648926,289.8572998,0.284622192,0,0,1541.007427,0,0,1510,0,0,1510
POLRA3_20240713_16_52_20,2024-07-13_16-53-13_v2.csv,crop,42.3249905,117.2053513,croptreegrass,29.48837303,1540.664048,8,3,48,9,287.2304688,286.6741333,288.9196777,0.307800293,0,0,1540.664048,0,0,1510,0,0,1510
POLRA3_20240713_17_17_23,2024-07-13_17-18-34_v2.csv,tree,42.31015164,117.2076198,treeandgrass,29.92280655,1519.326597,8,3,49,9,286.6901855,286.479126,288.6595459,0.306610107,0,0,1519.326597,0,0,1510,0,0,1510
POLRA3_20240714_16_23_07,2024-07-14_16-23-45_v2.csv,tree,42.31024138,117.2074551,treeandgrass,28.11496956,1510.598544,8,3,53,8,288.9370117,287.8404541,289.9389648,0.263061523,0,0,1510.598544,0,0,1510,0,0,1510
POLRA3_20240714_17_28_32,2024-07-14_17-29-12_v2.csv,crop,42.32502258,117.205409,croptreegrass,29.29551167,1529.749735,8,3,54,9,288.5924072,287.4072266,289.5455933,0.262710571,0,0,1529.749735,0,0,1510,0,0,1510
POLRA3_20240717_17_54_27,2024-07-17_17-55-01_v2.csv,crop,42.32503126,117.2054427,croptreegrass,30.1700468,1541.826938,8,3,59,10,287.2585449,285.5205078,288.2568359,0.243087769,0,0,1541.826938,0,0,1510,0,0,1510
POLRA3_20240717_18_22_55,2024-07-17_18-26-36_v2.csv,tree,42.31009343,117.2077362,treeandgrass,28.77071801,1506.704238,8,3,60,10,286.4759521,284.5917969,287.623291,0.242874146,0,0,1506.704238,0,0,1510,0,0,1510
